epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,inference_time_ms_per_sample,max_vram_mb,model_flops,model_params
1,3.8915,11.84,3.4134,17.91,68.79,0.4449,874.15,375.82 MFLOPs,5368806
2,3.0857,23.71,2.9881,26.45,71.43,0.4528,874.15,375.82 MFLOPs,5368806
3,2.7131,31.03,2.5926,33.63,71.62,0.4532,874.15,375.82 MFLOPs,5368806
4,2.429,36.77,2.4419,37.09,72.01,0.4525,874.15,375.82 MFLOPs,5368806
5,2.1704,41.99,2.4048,38.26,71.84,0.4537,874.15,375.82 MFLOPs,5368806
6,1.9308,47.58,2.2347,42.31,71.87,0.453,874.15,375.82 MFLOPs,5368806
7,1.6792,53.23,2.234,43.28,71.91,0.453,874.15,375.82 MFLOPs,5368806
8,1.4475,58.32,2.2797,43.55,71.87,0.4536,874.15,375.82 MFLOPs,5368806
9,1.2069,64.5,2.3136,44.1,71.86,0.4534,874.15,375.82 MFLOPs,5368806
10,0.9784,70.54,2.4001,44.43,71.92,0.4536,874.15,375.82 MFLOPs,5368806
11,0.7758,75.99,2.4446,46.21,71.9,0.4531,874.15,375.82 MFLOPs,5368806
12,0.6231,80.32,2.6971,44.78,71.76,0.4534,874.15,375.82 MFLOPs,5368806
13,0.5354,82.78,2.7327,45.01,71.83,0.453,874.15,375.82 MFLOPs,5368806
14,0.4513,85.64,2.873,45.33,71.84,0.4528,874.15,375.82 MFLOPs,5368806
15,0.4185,86.4,2.9952,45.21,71.81,0.4529,874.15,375.82 MFLOPs,5368806
