epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,inference_time_ms_per_sample,max_vram_mb,model_flops,model_params
1,1.6287,42.99,1.3012,53.39,65.81,0.4165,849.26,375.38 MFLOPs,5350090
2,1.2445,55.04,1.287,54.41,66.06,0.423,849.26,375.38 MFLOPs,5350090
3,1.1416,59.14,1.1392,58.83,66.95,0.4263,849.26,375.38 MFLOPs,5350090
4,1.0554,62.21,1.1008,60.61,67.57,0.4301,849.26,375.38 MFLOPs,5350090
5,0.9586,65.81,1.0499,62.84,67.57,0.4359,849.26,375.38 MFLOPs,5350090
6,0.8924,68.07,0.9688,65.59,67.82,0.4307,849.26,375.38 MFLOPs,5350090
7,0.817,71.1,0.9832,65.02,68.15,0.4327,849.26,375.38 MFLOPs,5350090
8,0.7539,73.14,0.857,70.34,68.23,0.4352,849.26,375.38 MFLOPs,5350090
9,0.6883,75.6,0.8118,72.26,68.24,0.4349,849.26,375.38 MFLOPs,5350090
10,0.6377,77.62,0.8013,72.11,68.61,0.4358,849.26,375.38 MFLOPs,5350090
11,0.5915,79.15,0.7716,72.88,68.82,0.4382,849.26,375.38 MFLOPs,5350090
12,0.5489,80.54,0.755,74.18,68.76,0.4363,849.26,375.38 MFLOPs,5350090
13,0.513,81.84,0.7672,73.82,68.88,0.436,849.26,375.38 MFLOPs,5350090
14,0.473,83.35,0.7361,75.36,68.7,0.4374,849.26,375.38 MFLOPs,5350090
15,0.4364,84.52,0.7577,75.1,69.19,0.4354,849.26,375.38 MFLOPs,5350090
16,0.401,85.64,0.7314,76.76,68.97,0.4379,849.26,375.38 MFLOPs,5350090
17,0.3729,86.86,0.735,76.25,68.51,0.4382,849.26,375.38 MFLOPs,5350090
18,0.3455,87.54,0.7956,75.83,68.65,0.4365,849.26,375.38 MFLOPs,5350090
19,0.325,88.3,0.7565,76.77,68.91,0.4379,849.26,375.38 MFLOPs,5350090
20,0.3035,89.12,0.7706,77.03,68.74,0.438,849.26,375.38 MFLOPs,5350090
21,0.2774,90.14,0.8053,76.0,68.51,0.4383,849.26,375.38 MFLOPs,5350090
22,0.2661,90.46,0.8344,75.82,68.5,0.4378,849.26,375.38 MFLOPs,5350090
23,0.2547,90.91,0.7847,76.83,68.52,0.4381,849.26,375.38 MFLOPs,5350090
24,0.2401,91.24,0.831,76.52,68.39,0.4381,849.26,375.38 MFLOPs,5350090
25,0.2244,91.85,0.8628,76.07,68.56,0.4382,849.26,375.38 MFLOPs,5350090
26,0.2159,92.14,0.8453,76.71,68.79,0.4381,849.26,375.38 MFLOPs,5350090
27,0.2046,92.69,0.8927,77.05,68.65,0.4387,849.26,375.38 MFLOPs,5350090
28,0.1964,92.9,0.8695,76.3,68.73,0.438,849.26,375.38 MFLOPs,5350090
29,0.1881,93.2,0.8624,77.37,68.76,0.4378,849.26,375.38 MFLOPs,5350090
30,0.1916,93.02,0.8611,77.24,68.32,0.4374,849.26,375.38 MFLOPs,5350090
31,0.1661,94.17,0.9245,76.99,68.33,0.4375,849.26,375.38 MFLOPs,5350090
32,0.1774,93.67,0.865,77.13,68.71,0.4362,849.26,375.38 MFLOPs,5350090
33,0.168,94.03,0.9272,76.8,68.26,0.4372,849.26,375.38 MFLOPs,5350090
34,0.1713,93.83,0.891,77.39,68.72,0.438,849.26,375.38 MFLOPs,5350090
35,0.1517,94.62,0.9579,76.62,68.75,0.4383,849.26,375.38 MFLOPs,5350090
36,0.1614,94.38,0.9164,77.38,68.79,0.4383,849.26,375.38 MFLOPs,5350090
37,0.1533,94.54,0.9493,75.95,68.89,0.4379,849.26,375.38 MFLOPs,5350090
38,0.1528,94.57,0.937,77.41,69.06,0.4378,849.26,375.38 MFLOPs,5350090
39,0.1469,94.82,0.9584,77.17,69.14,0.4378,849.26,375.38 MFLOPs,5350090
40,0.1498,94.69,0.9401,76.67,68.68,0.4379,849.26,375.38 MFLOPs,5350090
41,0.1368,95.08,0.9678,77.35,68.95,0.4378,849.26,375.38 MFLOPs,5350090
42,0.1486,94.66,1.0293,75.91,68.78,0.4378,849.26,375.38 MFLOPs,5350090
43,0.1322,95.22,1.0101,76.19,68.94,0.4377,849.26,375.38 MFLOPs,5350090
44,0.1458,94.79,1.0112,76.6,68.9,0.4376,849.26,375.38 MFLOPs,5350090
45,0.1281,95.42,0.9983,76.33,68.91,0.4381,849.26,375.38 MFLOPs,5350090
46,0.1363,95.24,0.9829,76.35,68.6,0.4339,849.26,375.38 MFLOPs,5350090
47,0.1273,95.49,0.9823,76.32,68.65,0.4384,849.26,375.38 MFLOPs,5350090
48,0.1329,95.25,1.0221,76.69,68.74,0.4418,849.26,375.38 MFLOPs,5350090
49,0.1319,95.32,0.988,76.73,69.05,0.4378,849.26,375.38 MFLOPs,5350090
50,0.122,95.73,0.9992,76.66,69.07,0.4382,849.26,375.38 MFLOPs,5350090
51,0.1385,95.11,1.0089,77.18,69.06,0.438,849.26,375.38 MFLOPs,5350090
52,0.1166,95.93,1.0259,77.2,69.04,0.4378,849.26,375.38 MFLOPs,5350090
53,0.1311,95.39,0.9556,76.97,68.99,0.4376,849.26,375.38 MFLOPs,5350090
54,0.1226,95.64,0.9795,77.2,69.04,0.4386,849.26,375.38 MFLOPs,5350090
55,0.1244,95.61,1.036,75.85,69.02,0.4381,849.26,375.38 MFLOPs,5350090
56,0.1137,96.09,1.0164,76.79,68.79,0.4374,849.26,375.38 MFLOPs,5350090
57,0.1226,95.63,1.031,76.52,68.38,0.4378,849.26,375.38 MFLOPs,5350090
58,0.121,95.74,0.9939,76.79,68.67,0.4377,849.26,375.38 MFLOPs,5350090
59,0.1149,95.92,1.0905,75.49,68.52,0.4381,849.26,375.38 MFLOPs,5350090
60,0.1206,95.69,1.0421,76.4,69.15,0.4377,849.26,375.38 MFLOPs,5350090
61,0.1141,96.03,1.0255,77.37,68.87,0.4378,849.26,375.38 MFLOPs,5350090
62,0.1156,95.93,1.0113,77.53,69.08,0.4377,849.26,375.38 MFLOPs,5350090
63,0.1124,96.03,1.0133,76.49,69.11,0.438,849.26,375.38 MFLOPs,5350090
64,0.1126,95.94,1.1311,75.97,69.04,0.4382,849.26,375.38 MFLOPs,5350090
65,0.122,95.66,1.0029,76.93,68.96,0.4379,849.26,375.38 MFLOPs,5350090
66,0.103,96.36,1.0898,76.42,69.14,0.4379,849.26,375.38 MFLOPs,5350090
67,0.1172,95.84,0.9956,77.32,68.87,0.438,849.26,375.38 MFLOPs,5350090
68,0.1049,96.3,1.0472,76.87,68.71,0.4353,849.26,375.38 MFLOPs,5350090
69,0.1168,95.93,1.0082,77.73,68.75,0.4372,849.26,375.38 MFLOPs,5350090
70,0.1054,96.26,0.9782,76.81,68.89,0.4379,849.26,375.38 MFLOPs,5350090
