epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,inference_time_ms_per_sample,max_vram_mb,model_flops,model_params
1,1.6672,41.38,1.3988,49.22,22.93,0.1255,269.33,94.14 MFLOPs,5378506
2,1.3459,51.66,1.3378,52.45,21.13,0.1272,269.33,94.14 MFLOPs,5378506
3,1.2601,54.9,1.2359,55.45,21.33,0.1276,269.33,94.14 MFLOPs,5378506
4,1.1861,57.65,1.1931,57.2,21.28,0.1278,269.33,94.14 MFLOPs,5378506
5,1.1084,60.53,1.2275,56.73,21.38,0.1275,269.33,94.14 MFLOPs,5378506
6,1.0388,62.81,1.1576,58.72,21.27,0.1279,269.33,94.14 MFLOPs,5378506
7,0.9756,65.2,1.1121,60.61,23.11,0.1279,269.33,94.14 MFLOPs,5378506
8,0.9008,67.85,1.0574,62.83,21.47,0.1281,269.33,94.14 MFLOPs,5378506
9,0.8355,70.16,1.0556,63.58,21.44,0.1281,269.33,94.14 MFLOPs,5378506
10,0.7732,72.26,1.0958,61.76,21.39,0.1281,269.33,94.14 MFLOPs,5378506
11,0.7046,74.74,1.0687,64.4,21.38,0.1281,269.33,94.14 MFLOPs,5378506
12,0.638,77.06,1.0673,64.95,21.52,0.1294,269.33,94.14 MFLOPs,5378506
